
Run date 2022-01-19 15:47:48.885518
Sample 19

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  3263.0  2869.0   1.137
       2  2627.0  2681.0   0.980
       3  2911.0  2860.0   1.018
       4  2767.0  2658.0   1.041
       5  2729.0  2807.0   0.972
       6  2681.0  2683.0   0.999
       7  2791.0  2724.0   1.025
       8  2519.0  2486.0   1.013
       9  2414.0  2472.0   0.977
      10  2366.0  2504.0   0.945
      11  2539.0  2403.0   1.057
      12  2631.0  2600.0   1.012
      13  2626.0  2573.0   1.021
      14  2644.0  2532.0   1.044
      15  2636.0  2546.0   1.035
      16  2465.0  2437.0   1.011
      17  2453.0  2464.0   0.996
      18  2350.0  2485.0   0.946
      19  2431.0  2374.0   1.024
      20  2534.0  2429.0   1.043
      21  2346.0  2234.0   1.050
      22  2320.0  2419.0   0.959
      23  2442.0  2270.0   1.076
      24  2223.0  2290.0   0.971
      25  2272.0  2211.0   1.028
      26  2239.0  2308.0   0.970
      27  2273.0  2292.0   0.992
      28  2207.0  2304.0   0.958
      29  2446.0  2406.0   1.017
      30  2347.0  2242.0   1.047
      31  2230.0  2273.0   0.981
      32  2213.0  2240.0   0.988
      33  2205.0  2233.0   0.987
      34  2252.0  2245.0   1.003
      35  2241.0  2362.0   0.949
      36  2323.0  2194.0   1.059
      37  2135.0  2094.0   1.020
      38  2114.0  2208.0   0.957
      39  2265.0  2209.0   1.025
      40  2319.0  2283.0   1.016
      41  2301.0  2327.0   0.989
      42  2354.0  2284.0   1.031
      43  2264.0  2252.0   1.005
      44  2244.0  2298.0   0.977
      45  2390.0  2343.0   1.020
      46  2449.0  2357.0   1.039
      47  2312.0  2307.0   1.002
      48  2249.0  2217.0   1.014
      49  2147.0  2232.0   0.962
      50  2158.0  2155.0   1.001
      51  2231.0  2130.0   1.047
      52  2204.0  2109.0   1.045
      53  2221.0  2126.0   1.045
      54  2068.0  2099.0   0.985
      55  2126.0  2135.0   0.996
      56  2162.0  2201.0   0.982
      57  2040.0  2130.0   0.958
      58  2025.0  2083.0   0.972
      59  2182.0  2101.0   1.039
      60  2124.0  2063.0   1.030
      61  2038.0  2080.0   0.980
      62  2161.0  2027.0   1.066


Run date 2022-01-19 16:37:38.415122
Sample 11

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  2017.0  2010.0   1.003
       2  2189.0  2131.0   1.027
       3  2050.0  2115.0   0.969
       4  2116.0  2128.0   0.994
       5  2118.0  2118.0   1.000
       6  1991.0  1998.0   0.996
       7  1943.0  2014.0   0.965
       8  2005.0  1975.0   1.015
       9  2133.0  2057.0   1.037
      10  2200.0  2087.0   1.054
      11  2080.0  2127.0   0.978
      12  2073.0  1972.0   1.051
      13  2067.0  2178.0   0.949
      14  2075.0  2063.0   1.006
      15  2075.0  2070.0   1.002
      16  2015.0  1947.0   1.035
      17  2084.0  2026.0   1.029
      18  1990.0  2041.0   0.975
      19  2055.0  1942.0   1.058
      20  1977.0  2048.0   0.965
      21  1910.0  1934.0   0.988
      22  2000.0  1910.0   1.047
      23  1946.0  1891.0   1.029
      24  1761.0  1759.0   1.001
      25  1799.0  1791.0   1.004
      26  1795.0  1759.0   1.020
      27  1776.0  1818.0   0.977
      28  1830.0  1641.0   1.115
      29  1608.0  1669.0   0.963
      30  1725.0  1697.0   1.016
      31  1606.0  1563.0   1.028
      32  1679.0  1800.0   0.933
      33  1619.0  1642.0   0.986
      34  1602.0  1666.0   0.962
      35  1687.0  1701.0   0.992
      36  1700.0  1610.0   1.056
      37  1666.0  1827.0   0.912
      38  1664.0  1580.0   1.053
      39  1637.0  1596.0   1.026
      40  1598.0  1682.0   0.950
      41  1664.0  1698.0   0.980
      42  1551.0  1658.0   0.935
      43  1569.0  1557.0   1.008
      44  1616.0  1516.0   1.066
      45  1563.0  1539.0   1.016
      46  1549.0  1592.0   0.973
      47  1600.0  1640.0   0.976
      48  1737.0  1543.0   1.126
      49  1570.0  1624.0   0.967
      50  1648.0  1612.0   1.022
      51  1582.0  1546.0   1.023
      52  1653.0  1723.0   0.959
      53  1618.0  1567.0   1.033
      54  1592.0  1568.0   1.015
      55  1573.0  1526.0   1.031
      56  1468.0  1488.0   0.987
      57  1545.0  1576.0   0.980
      58  1493.0  1543.0   0.968
      59  1471.0  1455.0   1.011
      60  1541.0  1537.0   1.003
      61  1625.0  1582.0   1.027
      62  1460.0  1437.0   1.016

